workbook_file,sheet_name,header_row,headers_json,notes
GSCキーワード調査.xlsx,KWサマリ,1,"[""query"", ""totalClicks"", ""totalImpressions"", ""ctr"", ""avgPosition(w)"", ""pageCount"", ""topPage"", ""topClicks"", ""topShare"", ""sites"", ""rangeStart"", ""rangeEnd""]",
GSCキーワード調査.xlsx,カニバリ候補,1,"[""query"", ""totalClicks"", ""totalImpressions"", ""ctr"", ""avgPosition(w)"", ""pageCount"", ""topPage"", ""topClicks"", ""topShare"", ""sites"", ""rangeStart"", ""rangeEnd"", ""note""]",
GSCキーワード調査.xlsx,KW候補,1,"[""domain"", ""siteUrl"", ""query"", ""clicks"", ""impressions"", ""ctr"", ""position"", ""intentScore"", ""intentLabel"", ""scoreReason"", ""対象(checkbox)"", ""rangeStart"", ""rangeEnd"", ""memo""]",
GSCキーワード調査.xlsx,ログ,1,"[""ts"", ""level"", ""msg"", ""json""]",
GSCキーワード調査.xlsx,KW設定,1,"[""key"", ""value"", ""memo"", ""includeWords(任意)"", ""excludeWords(任意)"", ""includeRegex(任意)"", ""excludeRegex(任意)""]",
GSCキーワード調査.xlsx,CONFIG,1,"[""key"", ""value""]",
GSCキーワード調査.xlsx,KW_RULES,1,"[""type"", ""regex"", ""score"", ""note""]",
GSCキーワード調査.xlsx,SNAPSHOT_META,1,"[""snapshot_id"", ""pulled_at"", ""start_date"", ""end_date"", ""note""]",
GSCキーワード調査.xlsx,QUERY_LIST,1,"[""snapshot_id"", ""domain"", ""siteUrl"", ""query"", ""clicks"", ""impressions"", ""ctr"", ""position"", ""cv_score"", ""bucket"", ""picked""]",
GSCキーワード調査.xlsx,QUERY_PAGE,1,"[""snapshot_id"", ""domain"", ""siteUrl"", ""query"", ""page"", ""clicks"", ""impressions"", ""ctr"", ""position""]",
GSCキーワード調査.xlsx,KW_DECISION,1,"[""snapshot_id"", ""domain"", ""siteUrl"", ""query"", ""best_url"", ""url_count"", ""competing_urls"", ""action""]",
禁則ワードチェック.xlsx,禁則ワード,,"[""A:禁則ワード"", ""B:除外語(任意・改行または|区切り)""]",ヘッダなし。データ開始行は1行目。
禁則ワードチェック.xlsx,チェック結果,1,"[""URL"", ""月間クリック数(30日)"", ""合計"", ""プロンプト"", ""崩れ"", ""型"", ""迷い"", ""保留"", ""固定"", ""手順"", ""立て直"", ""最短"", ""結論だけ"", ""乱れ"", ""三点確認"", ""内部リンク"", ""導線"", ""設計"", ""刺"", ""まず結論"", ""整え"", ""押し付けない案内"", ""統一"", ""次の一手"", ""失点"", ""確定"", ""サブコラム"", ""30秒"", ""1分"", ""CV"", ""網羅"", ""更新日時""]",
禁則ワードチェック.xlsx,260129,1,"[""URL"", ""月間クリック数(30日)"", ""合計"", ""プロンプト"", ""崩れ"", ""型"", ""迷い"", ""保留"", ""固定"", ""手順"", ""立て直"", ""最短"", ""結論だけ"", ""乱れ"", ""三点確認"", ""内部リンク"", ""導線"", ""設計"", ""刺"", ""まず結論"", ""整え""]",
内部リンクマスタ.xlsx,内部リンク_ページ別,1,"[""URL"", ""分類"", ""内部リンク数_設計(content+cta_inline)"", ""外部リンク数_設計(content+cta_inline)"", ""ユニーク内部リンク数_設計"", ""内部リンク切れ数_設計"", ""内部_content"", ""内部_cta_inline"", ""内部_cta_auto"", ""外部_content"", ""外部_cta_inline"", ""外部_cta_auto""]",
